◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
Targets: 1224
[682/1224] ❌ catawba:womens
[683/1224] ❌ cedarville:mens
[684/1224] ❌ cedarville:womens
[685/1224] ❌ christian-brothers:mens
[686/1224] ❌ christian-brothers:womens
[687/1224] ❌ colorado-christian:mens
[688/1224] ❌ colorado-christian:womens
[689/1224] ❌ mines:mens
[690/1224] ❌ mines:womens
[691/1224] ❌ csu-pueblo:mens
[692/1224] ❌ csu-pueblo:womens
[693/1224] ❌ commonwealth-pa:mens
[694/1224] ❌ commonwealth-pa:womens
[695/1224] ❌ concord:mens
[696/1224] ❌ concord:womens
[697/1224] ❌ concordia-st-paul:mens
[698/1224] ❌ concordia-st-paul:womens
[699/1224] ❌ dallas-baptist:mens
[700/1224] ❌ dallas-baptist:womens
[701/1224] ❌ davenport:mens
[702/1224] ❌ davenport:womens
[703/1224] ❌ delta-state:mens
[704/1224] ❌ delta-state:womens
[705/1224] ❌ dominican-ny:mens
[706/1224] ❌ dominican-ny:womens
[707/1224] ❌ dominican-ca:mens
[708/1224] ❌ dominican-ca:womens
[709/1224] ❌ drury:mens
[710/1224] ❌ drury:womens
[711/1224] ❌ east-stroudsburg:mens
[712/1224] ❌ east-stroudsburg:womens
[713/1224] ❌ enmu:mens
[714/1224] ❌ enmu:womens
[715/1224] ❌ eckerd:mens
[716/1224] ❌ eckerd:womens
[717/1224] ❌ embry-riddle:mens
[718/1224] ❌ embry-riddle:womens
[719/1224] ❌ fairmont-state:mens
[720/1224] ❌ fairmont-state:womens
[721/1224] ❌ ferris-state:mens
[722/1224] ❌ ferris-state:womens
[723/1224] ❌ flagler:mens
[724/1224] ❌ flagler:womens
[725/1224] ❌ florida-tech:mens
[726/1224] ❌ florida-tech:womens
[727/1224] ❌ floridasouthern:mens
[728/1224] ❌ floridasouthern:womens
[729/1224] ❌ fort-hays-state:mens
[730/1224] ❌ fort-hays-state:womens
[731/1224] ❌ fortlewis:mens
[732/1224] ❌ fortlewis:womens
[733/1224] ❌ francis-marion:mens
[734/1224] ❌ francis-marion:womens
[735/1224] ❌ franklinpierce:mens
[736/1224] ❌ franklinpierce:womens
[737/1224] ❌ gannon:mens
[738/1224] ❌ gannon:womens
[739/1224] ❌ georgia-southwestern:mens
[740/1224] ❌ georgia-southwestern:womens
[741/1224] ❌ gvsu:mens
[742/1224] ❌ gvsu:womens
[743/1224] ❌ harding:mens
[744/1224] ❌ harding:womens
[745/1224] ❌ henderson-state:mens
[746/1224] ❌ henderson-state:womens
[747/1224] ❌ iup:mens
[748/1224] ❌ iup:womens
[749/1224] ❌ kentucky-wesleyan:mens
[750/1224] ❌ kentucky-wesleyan:womens
[751/1224] ❌ king-tn:mens
[752/1224] ❌ king-tn:womens
[753/1224] ❌ kutztown:mens
[754/1224] ❌ kutztown:womens
